Date,AAPL,Apple Inc.,Apple
2015-01-01,2.4,0.0,32.0
2015-01-02,9.6,18.36,31.36
2015-01-03,3.84,20.4,31.68
2015-01-04,3.36,20.4,31.36
2015-01-05,12.48,16.830000000000002,29.44
2015-01-06,13.44,33.660000000000004,26.88
2015-01-07,12.48,16.32,28.16
2015-01-08,14.399999999999999,16.830000000000002,28.16
2015-01-09,12.0,51.0,26.88
2015-01-10,4.32,0.0,30.72
2015-01-11,0.96,0.0,29.76
2015-01-12,10.08,16.32,26.240000000000002
2015-01-13,11.52,32.64,25.28
2015-01-14,11.04,32.64,26.240000000000002
2015-01-15,12.959999999999999,16.32,26.240000000000002
2015-01-16,12.959999999999999,16.830000000000002,24.32
2015-01-17,5.279999999999999,0.0,27.52
2015-01-18,1.92,0.0,31.04
2015-01-19,3.84,26.01,27.52
2015-01-20,12.48,16.32,26.560000000000002
2015-01-21,12.959999999999999,15.81,25.92
2015-01-22,12.0,16.32,25.92
2015-01-23,12.48,16.830000000000002,25.92
2015-01-24,4.32,19.89,27.84
2015-01-25,2.88,0.0,28.16
2015-01-26,12.48,16.32,24.96
2015-01-27,28.32,15.81,25.92
2015-01-28,48.0,32.13,28.48
2015-01-29,26.4,16.32,28.48
2015-01-30,18.72,16.32,26.240000000000002
2015-01-31,8.64,0.0,26.560000000000002
2015-02-01,7.84,0.0,27.3
2015-02-02,32.83,15.19,24.599999999999998
2015-02-03,33.81,15.19,27.0
2015-02-04,39.2,15.19,25.5
2015-02-05,31.849999999999998,0.0,26.099999999999998
2015-02-06,38.22,48.019999999999996,25.8
2015-02-07,12.25,19.11,26.7
2015-02-08,9.8,19.11,28.2
2015-02-09,26.46,45.08,26.7
2015-02-10,40.67,30.38,26.7
2015-02-11,49.0,23.03,26.7
2015-02-12,47.04,23.03,25.8
2015-02-13,37.73,49.0,27.599999999999998
2015-02-14,13.719999999999999,0.0,28.2
2015-02-15,9.31,20.09,29.099999999999998
2015-02-16,19.6,0.0,27.0
2015-02-17,39.2,15.68,26.7
2015-02-18,35.28,31.36,27.0
2015-02-19,40.67,15.68,25.8
2015-02-20,39.69,24.5,25.8
2015-02-21,14.209999999999999,0.0,27.599999999999998
2015-02-22,6.859999999999999,19.11,28.2
2015-02-23,43.12,15.19,26.099999999999998
2015-02-24,46.55,15.68,27.599999999999998
2015-02-25,42.14,46.55,26.099999999999998
2015-02-26,43.12,15.68,26.7
2015-02-27,39.69,0.0,25.2
2015-02-28,13.719999999999999,0.0,30.0
2015-03-01,6.44,20.64,15.479999999999999
2015-03-02,24.84,16.8,14.76
2015-03-03,23.46,16.8,14.399999999999999
2015-03-04,21.16,11.52,14.04
2015-03-05,21.62,16.8,14.04
2015-03-06,26.68,11.52,15.12
2015-03-07,7.36,14.399999999999999,15.84
2015-03-08,5.0600000000000005,14.399999999999999,15.84
2015-03-09,46.0,11.52,36.0
2015-03-10,34.96,11.52,32.04
2015-03-11,28.060000000000002,11.52,26.279999999999998
2015-03-12,25.76,11.52,21.24
2015-03-13,26.220000000000002,23.52,19.08
2015-03-14,7.36,0.0,19.8
2015-03-15,4.140000000000001,44.16,20.16
2015-03-16,18.86,23.52,18.0
2015-03-17,22.080000000000002,0.0,17.28
2015-03-18,23.46,11.52,16.2
2015-03-19,23.0,0.0,16.919999999999998
2015-03-20,22.540000000000003,23.52,15.84
2015-03-21,9.66,14.399999999999999,17.28
2015-03-22,3.68,14.399999999999999,17.28
2015-03-23,20.240000000000002,11.52,15.479999999999999
2015-03-24,20.240000000000002,0.0,15.479999999999999
2015-03-25,12.88,0.0,14.399999999999999
2015-03-26,18.400000000000002,0.0,14.399999999999999
2015-03-27,19.32,12.0,15.12
2015-03-28,5.98,48.0,16.2
2015-03-29,4.6000000000000005,15.84,16.919999999999998
2015-03-30,23.46,11.52,15.479999999999999
2015-03-31,19.32,23.52,15.84
2015-04-01,12.48,18.72,23.759999999999998
2015-04-02,14.879999999999999,19.439999999999998,23.04
2015-04-03,7.68,20.16,23.04
2015-04-04,3.36,0.0,25.2
2015-04-05,1.44,0.0,26.279999999999998
2015-04-06,15.84,56.879999999999995,24.84
2015-04-07,13.44,18.0,24.84
2015-04-08,13.92,0.0,25.56
2015-04-09,14.879999999999999,18.0,27.36
2015-04-10,16.8,18.72,36.0
2015-04-11,5.279999999999999,0.0,31.32
2015-04-12,2.4,0.0,27.72
2015-04-13,19.68,18.72,24.84
2015-04-14,13.92,18.0,25.919999999999998
2015-04-15,12.48,72.0,24.84
2015-04-16,11.52,36.0,24.119999999999997
2015-04-17,12.48,38.879999999999995,24.84
2015-04-18,4.8,0.0,24.84
2015-04-19,1.92,47.519999999999996,25.56
2015-04-20,14.879999999999999,0.0,24.48
2015-04-21,14.879999999999999,18.0,24.119999999999997
2015-04-22,14.399999999999999,55.44,23.04
2015-04-23,17.28,0.0,25.56
2015-04-24,19.2,58.32,29.88
2015-04-25,6.72,0.0,31.68
2015-04-26,4.8,23.759999999999998,28.08
2015-04-27,48.0,0.0,29.52
2015-04-28,40.8,18.0,27.72
2015-04-29,24.0,36.72,27.36
2015-04-30,25.439999999999998,18.72,24.84
2015-05-01,39.0,16.32,29.44
2015-05-02,11.31,0.0,30.400000000000002
2015-05-03,7.800000000000001,30.72,29.12
2015-05-04,34.71,15.84,30.080000000000002
2015-05-05,34.71,15.36,30.080000000000002
2015-05-06,34.32,15.84,28.48
2015-05-07,33.15,0.0,28.48
2015-05-08,31.59,16.8,27.2
2015-05-09,8.97,21.119999999999997,32.0
2015-05-10,7.41,21.599999999999998,31.68
2015-05-11,30.42,0.0,28.16
2015-05-12,26.91,31.68,28.48
2015-05-13,26.130000000000003,48.0,28.8
2015-05-14,32.76,24.0,27.84
2015-05-15,31.59,0.0,28.16
2015-05-16,7.800000000000001,0.0,30.080000000000002
2015-05-17,6.24,0.0,29.12
2015-05-18,30.03,15.84,28.16
2015-05-19,33.93,0.0,30.080000000000002
2015-05-20,30.03,24.0,29.12
2015-05-21,28.080000000000002,33.6,28.48
2015-05-22,32.370000000000005,17.759999999999998,29.76
2015-05-23,9.36,0.0,30.080000000000002
2015-05-24,5.8500000000000005,45.6,31.36
2015-05-25,5.07,0.0,30.400000000000002
2015-05-26,31.200000000000003,16.32,27.84
2015-05-27,30.03,0.0,29.76
2015-05-28,29.64,16.32,30.400000000000002
2015-05-29,26.91,17.28,29.76
2015-05-30,8.19,0.0,30.72
2015-05-31,7.0200000000000005,0.0,32.0
2015-06-01,28.7,0.0,26.64
2015-06-02,26.95,0.0,27.0
2015-06-03,31.849999999999998,11.0,27.72
2015-06-04,27.65,0.0,25.919999999999998
2015-06-05,29.049999999999997,11.44,25.56
2015-06-06,7.699999999999999,0.0,24.84
2015-06-07,7.35,14.52,28.08
2015-06-08,35.0,22.0,36.0
2015-06-09,30.099999999999998,32.56,33.839999999999996
2015-06-10,27.65,0.0,28.799999999999997
2015-06-11,27.299999999999997,0.0,27.36
2015-06-12,22.4,23.32,28.08
2015-06-13,5.949999999999999,0.0,28.439999999999998
2015-06-14,4.55,14.52,27.36
2015-06-15,25.9,11.0,26.64
2015-06-16,22.4,11.0,26.64
2015-06-17,25.549999999999997,0.0,25.919999999999998
2015-06-18,24.5,11.0,25.919999999999998
2015-06-19,22.75,0.0,26.64
2015-06-20,7.35,14.08,27.72
2015-06-21,4.55,0.0,27.72
2015-06-22,22.4,11.0,27.0
2015-06-23,24.5,0.0,26.64
2015-06-24,32.9,44.0,25.2
2015-06-25,29.749999999999996,33.44,26.64
2015-06-26,27.299999999999997,23.32,26.279999999999998
2015-06-27,8.049999999999999,0.0,28.08
2015-06-28,4.55,0.0,29.88
2015-06-29,28.0,11.0,26.64
2015-06-30,28.349999999999998,11.0,35.64
2015-07-01,11.76,0.0,36.0
2015-07-02,11.76,22.5,34.199999999999996
2015-07-03,3.92,0.0,33.839999999999996
2015-07-04,1.47,14.85,32.76
2015-07-05,2.45,0.0,31.32
2015-07-06,11.76,32.85,29.16
2015-07-07,11.76,0.0,30.24
2015-07-08,14.209999999999999,21.6,29.16
2015-07-09,15.19,10.8,29.88
2015-07-10,13.23,0.0,29.16
2015-07-11,3.4299999999999997,13.950000000000001,30.24
2015-07-12,2.45,0.0,29.52
2015-07-13,13.719999999999999,21.6,29.16
2015-07-14,13.719999999999999,10.35,26.64
2015-07-15,14.209999999999999,0.0,30.24
2015-07-16,13.23,0.0,27.36
2015-07-17,14.7,11.25,27.72
2015-07-18,5.39,0.0,31.32
2015-07-19,2.94,22.05,29.88
2015-07-20,22.05,11.25,28.799999999999997
2015-07-21,46.55,0.0,31.68
2015-07-22,49.0,10.8,31.32
2015-07-23,23.03,10.8,28.799999999999997
2015-07-24,18.62,45.0,27.0
2015-07-25,6.37,13.5,29.16
2015-07-26,2.94,13.950000000000001,31.32
2015-07-27,14.7,10.8,29.16
2015-07-28,14.209999999999999,10.35,28.799999999999997
2015-07-29,14.209999999999999,16.2,27.0
2015-07-30,12.74,10.8,28.439999999999998
2015-07-31,14.209999999999999,11.25,26.279999999999998
2015-08-01,3.4799999999999995,27.45,33.12
2015-08-02,3.4799999999999995,27.900000000000002,32.4
2015-08-03,22.04,32.85,31.32
2015-08-04,35.96,32.4,32.4
2015-08-05,31.319999999999997,21.6,31.32
2015-08-06,23.779999999999998,0.0,30.959999999999997
2015-08-07,20.299999999999997,22.5,32.4
2015-08-08,6.38,0.0,34.199999999999996
2015-08-09,5.22,27.900000000000002,33.839999999999996
