Date,FB,"Facebook, Inc.","Facebook,"
2015-01-01,81.0,0.0,41.86
2015-01-02,65.61,0.0,34.58
2015-01-03,72.09,0.0,50.96
2015-01-04,68.04,0.0,50.050000000000004
2015-01-05,58.32000000000001,0.0,62.79
2015-01-06,57.510000000000005,0.0,20.93
2015-01-07,55.89,0.0,40.95
2015-01-08,56.7,0.0,51.870000000000005
2015-01-09,57.510000000000005,16.0,52.78
2015-01-10,68.85000000000001,0.0,50.96
2015-01-11,65.61,0.0,37.31
2015-01-12,51.84,0.0,40.04
2015-01-13,51.84,0.0,40.95
2015-01-14,56.7,0.0,30.94
2015-01-15,59.940000000000005,0.0,40.95
2015-01-16,62.370000000000005,0.0,42.77
2015-01-17,75.33,0.0,39.13
2015-01-18,75.33,0.0,38.22
2015-01-19,62.370000000000005,0.0,76.44
2015-01-20,61.56,0.0,91.0
2015-01-21,57.510000000000005,0.0,90.09
2015-01-22,61.56,0.0,40.04
2015-01-23,63.99,0.0,51.870000000000005
2015-01-24,80.19000000000001,0.0,62.79
2015-01-25,76.95,0.0,25.48
2015-01-26,58.32000000000001,0.0,40.04
2015-01-27,66.42,0.0,59.15
2015-01-28,60.75000000000001,0.0,70.07000000000001
2015-01-29,62.370000000000005,0.0,50.96
2015-01-30,62.370000000000005,0.0,61.88
2015-01-31,72.9,0.0,12.74
2015-02-01,74.52000000000001,0.0,82.56
2015-02-02,55.89,0.0,61.06
2015-02-03,57.510000000000005,0.0,55.04
2015-02-04,55.89,0.0,42.14
2015-02-05,56.7,0.0,49.019999999999996
2015-02-06,59.13,0.0,50.74
2015-02-07,72.9,0.0,46.44
2015-02-08,75.33,0.0,30.96
2015-02-09,55.080000000000005,32.64,42.14
2015-02-10,57.510000000000005,0.0,36.12
2015-02-11,56.7,0.0,49.019999999999996
2015-02-12,58.32000000000001,0.0,36.98
2015-02-13,65.61,0.0,38.7
2015-02-14,81.0,0.0,47.3
2015-02-15,78.57000000000001,0.0,39.56
2015-02-16,64.80000000000001,0.0,52.46
2015-02-17,63.99,34.0,73.96
2015-02-18,61.56,0.0,73.96
2015-02-19,63.99,0.0,67.94
2015-02-20,64.80000000000001,0.0,44.72
2015-02-21,74.52000000000001,0.0,84.28
2015-02-22,76.14,0.0,84.28
2015-02-23,62.370000000000005,0.0,60.199999999999996
2015-02-24,60.75000000000001,0.0,43.0
2015-02-25,54.27,0.0,86.0
2015-02-26,58.32000000000001,0.0,80.84
2015-02-27,63.18000000000001,0.0,55.9
2015-02-28,74.52000000000001,0.0,67.94
2015-03-01,73.95,,28.490000000000002
2015-03-02,58.29,,38.5
2015-03-03,57.42,,53.9
2015-03-04,57.42,,23.1
2015-03-05,60.9,,77.0
2015-03-06,62.64,,32.34
2015-03-07,77.42999999999999,,49.28
2015-03-08,75.69,,29.26
2015-03-09,58.29,,54.67
2015-03-10,60.9,,38.5
2015-03-11,65.25,,39.27
2015-03-12,60.9,,16.17
2015-03-13,66.12,,24.64
2015-03-14,80.91,,40.04
2015-03-15,82.65,,20.02
2015-03-16,63.51,,32.34
2015-03-17,64.38,,47.74
2015-03-18,64.38,,23.87
2015-03-19,61.77,,40.04
2015-03-20,63.51,,32.34
2015-03-21,80.91,,30.03
2015-03-22,85.26,,40.04
2015-03-23,61.77,,23.1
2015-03-24,61.77,,39.27
2015-03-25,64.38,,66.99
2015-03-26,58.29,,46.97
2015-03-27,65.25,,33.11
2015-03-28,87.0,,33.11
2015-03-29,82.65,,21.560000000000002
2015-03-30,60.9,,7.7
2015-03-31,61.77,,56.21
2015-04-01,63.64,0.0,37.260000000000005
2015-04-02,69.66,0.0,58.32000000000001
2015-04-03,71.38,0.0,34.02
