Date,GOOG,Alphabet Inc.,Alphabet
2015-01-01,67.0,0.0,44.2
2015-01-02,62.0,0.0,44.88
2015-01-03,54.0,0.0,48.96
2015-01-04,70.0,0.0,49.64
2015-01-05,76.0,0.0,55.080000000000005
2015-01-06,73.0,0.0,57.120000000000005
2015-01-07,68.0,0.0,67.32000000000001
2015-01-08,98.0,0.0,64.60000000000001
2015-01-09,78.0,0.0,59.84
2015-01-10,61.0,0.0,46.92
2015-01-11,49.0,0.0,44.88
2015-01-12,92.0,0.0,60.52
2015-01-13,99.0,0.0,66.64
2015-01-14,78.0,4.0,61.2
2015-01-15,77.0,0.0,61.2
2015-01-16,82.0,0.0,59.84
2015-01-17,54.0,0.0,47.6
2015-01-18,51.0,0.0,48.96
2015-01-19,71.0,0.0,48.28
2015-01-20,72.0,0.0,57.800000000000004
2015-01-21,81.0,0.0,65.28
2015-01-22,97.0,0.0,68.0
2015-01-23,90.0,0.0,67.32000000000001
2015-01-24,64.0,0.0,48.96
2015-01-25,55.0,0.0,47.6
2015-01-26,81.0,0.0,59.160000000000004
2015-01-27,84.0,0.0,59.160000000000004
2015-01-28,82.0,0.0,68.0
2015-01-29,89.0,0.0,63.24
2015-01-30,100.0,0.0,63.24
2015-01-31,65.0,0.0,53.040000000000006
2015-02-01,56.26,,49.5
2015-02-02,82.45,,44.22
2015-02-03,63.05,,56.760000000000005
2015-02-04,77.6,,52.14
2015-02-05,80.50999999999999,,66.0
2015-02-06,70.81,,59.400000000000006
2015-02-07,66.92999999999999,,45.54
2015-02-08,51.41,,47.52
2015-02-09,75.66,,54.78
2015-02-10,83.42,,58.74
2015-02-11,88.27,,57.42
2015-02-12,89.24,,57.42
2015-02-13,91.17999999999999,,52.800000000000004
2015-02-14,58.199999999999996,,44.88
2015-02-15,55.29,,46.2
2015-02-16,59.17,,46.86
2015-02-17,64.99,,44.22
2015-02-18,68.87,,52.800000000000004
2015-02-19,71.78,,55.440000000000005
2015-02-20,77.6,,57.42
2015-02-21,60.14,,43.56
2015-02-22,54.32,,48.84
2015-02-23,66.92999999999999,,56.1
2015-02-24,71.78,,57.42
2015-02-25,88.27,,61.38
2015-02-26,97.0,,57.42
2015-02-27,74.69,,48.84
2015-02-28,56.26,,42.9
2015-03-01,57.599999999999994,0.0,54.18
2015-03-02,96.0,0.0,54.18
2015-03-03,76.8,0.0,55.44
2015-03-04,84.47999999999999,0.0,54.18
2015-03-05,70.08,0.0,57.33
2015-03-06,89.28,0.0,59.85
2015-03-07,56.64,0.0,50.4
2015-03-08,55.68,0.0,44.73
2015-03-09,67.2,0.0,52.29
2015-03-10,68.16,0.0,62.37
2015-03-11,76.8,0.0,60.480000000000004
2015-03-12,71.03999999999999,0.0,63.0
2015-03-13,78.72,0.0,59.85
2015-03-14,58.559999999999995,0.0,44.73
2015-03-15,57.599999999999994,0.0,46.62
2015-03-16,78.72,0.0,62.37
2015-03-17,76.8,0.0,57.33
2015-03-18,76.8,0.0,61.11
2015-03-19,90.24,0.0,53.55
2015-03-20,94.08,0.0,61.11
2015-03-21,66.24,0.0,46.62
