Date,PFE,"Pfizer, Inc.","Pfizer,"
2015-01-01,1.0,,0.0
2015-01-02,1.92,,0.0
2015-01-03,0.6,,0.0
2015-01-04,0.6,,0.0
2015-01-05,2.0,,0.0
2015-01-06,1.48,,0.0
2015-01-07,2.44,,0.0
2015-01-08,2.44,,0.0
2015-01-09,1.0,,0.0
2015-01-10,1.2,,0.0
2015-01-11,1.8,,0.0
2015-01-12,0.48,,0.0
2015-01-13,2.16,,0.0
2015-01-14,1.96,,0.0
2015-01-15,1.2,,30.0
2015-01-16,1.52,,0.0
2015-01-17,1.52,,0.0
2015-01-18,1.2,,0.0
2015-01-19,1.28,,0.0
2015-01-20,2.16,,0.0
2015-01-21,1.68,,29.099999999999998
2015-01-22,2.4,,0.0
2015-01-23,2.48,,0.0
2015-01-24,1.48,,0.0
2015-01-25,0.92,,0.0
2015-01-26,1.92,,0.0
2015-01-27,4.0,,0.0
2015-01-28,1.8800000000000001,,0.0
2015-01-29,1.92,,0.0
2015-01-30,3.4,,0.0
2015-01-31,1.16,,0.0
2015-02-01,0.4,0.0,0.0
2015-02-02,1.0,0.0,0.0
2015-02-03,1.68,0.0,0.0
2015-02-04,2.32,0.0,0.0
2015-02-05,3.0,0.0,0.0
2015-02-06,1.72,0.0,0.0
2015-02-07,0.0,0.0,0.0
2015-02-08,0.0,0.0,0.0
2015-02-09,1.96,0.0,0.0
2015-02-10,1.6400000000000001,0.0,0.0
2015-02-11,1.68,0.0,11.76
2015-02-12,4.0,0.0,11.76
2015-02-13,2.84,0.0,0.0
2015-02-14,0.0,0.0,0.0
2015-02-15,0.44,0.0,0.0
2015-02-16,0.72,0.0,0.0
2015-02-17,1.36,0.0,0.0
2015-02-18,2.04,0.0,24.0
2015-02-19,1.68,0.0,0.0
2015-02-20,1.4000000000000001,0.0,12.48
2015-02-21,0.4,0.0,0.0
2015-02-22,0.0,0.0,14.879999999999999
2015-02-23,0.32,0.0,0.0
2015-02-24,1.6400000000000001,0.0,0.0
2015-02-25,1.0,0.0,0.0
2015-02-26,2.4,0.0,0.0
2015-02-27,1.04,0.0,0.0
2015-02-28,0.84,0.0,0.0
2015-03-01,0.64,0.0,
2015-03-02,3.12,0.0,
2015-03-03,2.84,0.0,
2015-03-04,2.6,0.0,
2015-03-05,2.36,0.0,
2015-03-06,0.56,0.0,
2015-03-07,1.36,0.0,
2015-03-08,1.36,0.0,
2015-03-09,4.0,0.0,
2015-03-10,1.84,0.0,
2015-03-11,3.72,0.0,
2015-03-12,1.8800000000000001,0.0,
2015-03-13,2.7600000000000002,0.0,
2015-03-14,2.04,0.0,
2015-03-15,2.04,0.0,
2015-03-16,1.6400000000000001,0.0,
2015-03-17,2.44,0.0,
2015-03-18,1.8800000000000001,0.0,
2015-03-19,2.16,0.0,
